SAMPLING_REQUIREMENT,SPECIES_CODE,OBSERVATION_GROUP,LV1_OBSERVATION,PROCESS_ORDER,ACTIVE
Comparative,10,standard,Length,1,Y
Comparative,11,standard,Length,1,Y
Comparative,12,standard,Length,1,Y
Comparative,13,standard,Length,1,Y
Comparative,14,standard,Length,1,Y
Comparative,15,standard,Length,1,Y
Comparative,16,standard,Length,1,Y
Comparative,17,standard,Length,1,Y
Comparative,19,standard,Length,1,Y
Comparative,23,standard,Length,1,Y
Comparative,30,standard,Length,1,Y
Comparative,31,standard,Length,1,Y
Comparative,39,standard,Length,1,Y
Comparative,40,standard,Length,1,Y
Comparative,41,standard,Length,1,Y
Comparative,42,standard,Length,1,Y
Comparative,43,standard,Length,1,Y
Comparative,44,standard,Length,1,Y
Comparative,49,standard,Length,1,Y
Comparative,50,standard,Length,1,Y
Comparative,51,standard,Length,1,Y
Comparative,52,standard,Length,1,Y
Comparative,60,standard,Length,1,Y
Comparative,61,standard,Length,1,Y
Comparative,62,standard,Length,1,Y
Comparative,63,standard,Length,1,Y
Comparative,64,standard,Length,1,Y
Comparative,65,standard,Length,1,Y
Comparative,70,standard,Length,1,Y
Comparative,94,standard,Length,1,Y
Comparative,112,standard,Length,1,Y
Comparative,113,standard,Length,1,Y
Comparative,114,standard,Length,1,Y
Comparative,115,standard,Length,1,Y
Comparative,122,standard,Length,1,Y
Comparative,123,standard,Length,1,Y
Comparative,141,standard,Length,1,Y
Comparative,142,standard,Length,1,Y
Comparative,143,standard,Length,1,Y
Comparative,147,standard,Length,1,Y
Comparative,149,standard,Length,1,Y
Comparative,150,standard,Length,1,Y
Comparative,155,standard,Length,1,Y
Comparative,156,standard,Length,1,Y
Comparative,158,standard,Length,1,Y
Comparative,159,standard,Length,1,Y
Comparative,160,standard,Length,1,Y
Comparative,163,standard,Length,1,Y
Comparative,165,standard,Length,1,Y
Comparative,169,standard,Length,1,Y
Comparative,176,standard,Length,1,Y
Comparative,182,standard,Length,1,Y
Comparative,200,standard,Length,1,Y
Comparative,201,standard,Length,1,Y
Comparative,202,standard,Length,1,Y
Comparative,203,standard,Length,1,Y
Comparative,204,standard,Length,1,Y
Comparative,207,standard,Length,1,Y
Comparative,211,standard,Length,1,Y
Comparative,220,standard,Length,1,Y
Comparative,221,standard,Length,1,Y
Comparative,240,standard,Length,1,Y
Comparative,241,standard,Length,1,Y
Comparative,243,standard,Length,1,Y
Comparative,286,standard,Length,1,Y
Comparative,300,standard,Length,1,Y
Comparative,301,standard,Length,1,Y
Comparative,303,standard,Length,1,Y
Comparative,304,standard,Length,1,Y
Comparative,306,standard,Length,1,Y
Comparative,307,standard,Length,1,Y
Comparative,308,standard,Length,1,Y
Comparative,314,standard,Length,1,Y
Comparative,320,standard,Length,1,Y
Comparative,323,standard,Length,1,Y
Comparative,331,standard,Length,1,Y
Comparative,340,standard,Length,1,Y
Comparative,341,standard,Length,1,Y
Comparative,350,standard,Length,1,Y
Comparative,351,standard,Length,1,Y
Comparative,400,standard,Length,1,Y
Comparative,410,standard,Length,1,Y
Comparative,411,standard,Length,1,Y
Comparative,412,standard,Length,1,Y
Comparative,414,standard,Length,1,Y
Comparative,500,standard,Length,1,Y
Comparative,501,standard,Length,1,Y
Comparative,502,standard,Length,1,Y
Comparative,503,standard,Length,1,Y
Comparative,504,standard,Length,1,Y
Comparative,505,standard,Length,1,Y
Comparative,511,standard,Length,1,Y
Comparative,512,standard,Length,1,Y
Comparative,590,standard,Length,1,Y
Comparative,593,standard,Length,1,Y
Comparative,601,standard,Length,1,Y
Comparative,602,standard,Length,1,Y
Comparative,603,standard,Length,1,Y
Comparative,604,standard,Length,1,Y
Comparative,610,standard,Length,1,Y
Comparative,613,standard,Length,1,Y
Comparative,616,standard,Length,1,Y
Comparative,617,standard,Length,1,Y
Comparative,619,standard,Length,1,Y
Comparative,620,standard,Length,1,Y
Comparative,621,standard,Length,1,Y
Comparative,622,standard,Length,1,Y
Comparative,623,standard,Length,1,Y
Comparative,625,standard,Length,1,Y
Comparative,626,standard,Length,1,Y
Comparative,630,standard,Length,1,Y
Comparative,637,standard,Length,1,Y
Comparative,640,standard,Length,1,Y
Comparative,642,standard,Length,1,Y
Comparative,646,standard,Length,1,Y
Comparative,647,standard,Length,1,Y
Comparative,656,standard,Length,1,Y
Comparative,689,standard,Length,1,Y
Comparative,700,standard,Length,1,Y
Comparative,701,standard,Length,1,Y
Comparative,709,standard,Length,1,Y
Comparative,711,standard,Length,1,Y
Comparative,712,standard,Length,1,Y
Comparative,714,standard,Length,1,Y
Comparative,720,standard,Length,1,Y
Comparative,740,standard,Length,1,Y
Comparative,741,standard,Length,1,Y
Comparative,742,standard,Length,1,Y
Comparative,744,standard,Length,1,Y
Comparative,771,standard,Length,1,Y
Comparative,805,standard,Length,1,Y
Comparative,816,standard,Length,1,Y
Comparative,844,standard,Length,1,Y
Comparative,845,standard,Length,1,Y
Comparative,880,standard,Length,1,Y
Comparative,2000,standard,Length,1,Y
Comparative,2511,standard,Length,1,Y
Comparative,2512,standard,Length,1,Y
Comparative,2513,standard,Length,1,Y
Comparative,2519,standard,Length,1,Y
Comparative,2521,standard,Length,1,Y
Comparative,2523,standard,Length,1,Y
Comparative,2526,standard,Length,1,Y
Comparative,2527,standard,Length,1,Y
Comparative,2528,standard,Length,1,Y
Comparative,2531,standard,Length,1,Y
Comparative,2532,standard,Length,1,Y
Comparative,2550,standard,Length,1,Y
Comparative,4321,standard,Length,1,Y
Comparative,4322,standard,Length,1,Y
Comparative,4500,standard,Length,1,Y
Comparative,4511,standard,Length,1,Y
Comparative,4512,standard,Length,1,Y
Comparative,4514,standard,Length,1,Y
Comparative,9999,standard,Length,1,Y
