SAMPLING_REQUIREMENT,SPECIES_CODE,OBSERVATION_GROUP,PROCESS_ORDER,STRATIFY_BY_SEX,LENGTH_GROUP,NUM_OBS_LGRP_STRATA_GROUP,NUM_OBS_LGRP_MISSION,STRATA_GROUP,MIN_LENGTH,MAX_LENGTH,ACTIVE,NUM_OBS_LENGTH_GROUP,SEX_CODE,MATURITY_CODE,WHEN_FISH_NUMBER,NUM_OBS_MISSION,NAFO_UAREA_GROUP,NUM_OBS_LGRP_NAFO_UAREA_GROUP,STATION_GROUP,NUM_OBS_LGRP_STATION_GROUP
Comparative,42,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,43,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,44,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,49,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,50,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,51,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,52,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,60,standard,1,N,1,,,,,,Y,2,,,,,,,,
Comparative,61,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,62,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,63,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,64,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,65,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,70,standard,1,N,1,,,,,,Y,2,,,,,,,,
Comparative,94,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,112,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,113,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,114,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,115,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,122,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,123,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,141,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,142,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,143,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,147,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,149,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,150,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,155,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,156,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,158,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,159,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,160,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,163,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,165,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,169,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,176,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,182,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,200,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,201,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,202,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,203,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,204,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,207,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,211,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,220,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,221,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,240,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,241,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,243,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,286,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,300,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,301,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,303,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,304,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,306,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,307,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,308,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,314,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,320,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,323,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,331,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,340,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,341,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,350,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,351,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,400,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,410,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,411,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,412,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,414,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,500,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,501,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,502,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,503,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,504,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,505,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,511,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,512,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,590,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,593,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,601,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,602,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,603,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,604,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,610,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,613,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,616,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,617,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,619,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,620,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,621,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,622,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,623,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,625,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,626,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,630,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,637,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,640,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,642,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,646,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,647,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,656,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,689,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,700,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,701,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,709,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,711,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,712,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,714,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,720,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,740,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,741,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,742,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,744,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,771,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,805,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,816,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,844,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,845,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,880,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2000,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2511,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2512,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2513,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2519,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2521,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2523,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2526,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2527,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2528,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2531,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2532,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,2550,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,4321,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,4322,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,4500,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,4511,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,4512,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,4514,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,9999,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,10,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,11,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,12,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,13,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,14,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,15,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,16,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,17,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,19,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,23,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,30,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,31,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,39,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,40,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,41,standard,1,N,1,,,,,,Y,1,,,,,,,,
