STRATA_GROUP,STRATUM
440 to 442,440
440 to 442,441
440 to 442,442
440 to 457,440
440 to 457,441
440 to 457,442
440 to 457,443
440 to 457,444
440 to 457,445
440 to 457,446
440 to 457,447
440 to 457,448
440 to 457,449
440 to 457,450
440 to 457,451
440 to 457,452
440 to 457,453
440 to 457,454
440 to 457,455
440 to 457,456
440 to 457,457
440 to 466,440
440 to 466,441
440 to 466,442
440 to 466,443
440 to 466,444
440 to 466,445
440 to 466,446
440 to 466,447
440 to 466,448
440 to 466,449
440 to 466,450
440 to 466,451
440 to 466,452
440 to 466,453
440 to 466,454
440 to 466,455
440 to 466,456
440 to 466,457
440 to 466,458
440 to 466,459
440 to 466,460
440 to 466,461
440 to 466,462
440 to 466,463
440 to 466,464
440 to 466,465
440 to 466,466
440 to 483,440
440 to 483,441
440 to 483,442
440 to 483,443
440 to 483,444
440 to 483,445
440 to 483,446
440 to 483,447
440 to 483,448
440 to 483,449
440 to 483,450
440 to 483,451
440 to 483,452
440 to 483,453
440 to 483,454
440 to 483,455
440 to 483,456
440 to 483,457
440 to 483,458
440 to 483,459
440 to 483,460
440 to 483,461
440 to 483,462
440 to 483,463
440 to 483,464
440 to 483,465
440 to 483,466
440 to 483,470
440 to 483,471
440 to 483,472
440 to 483,473
440 to 483,474
440 to 483,475
440 to 483,476
440 to 483,477
440 to 483,478
440 to 483,480
440 to 483,481
440 to 483,482
440 to 483,483
440-446,440
440-446,441
440-446,442
440-446,443
440-446,444
440-446,445
440-446,446
"440-454, 466",440
"440-454, 466",441
"440-454, 466",442
"440-454, 466",443
"440-454, 466",444
"440-454, 466",445
"440-454, 466",446
"440-454, 466",447
"440-454, 466",448
"440-454, 466",449
"440-454, 466",450
"440-454, 466",451
"440-454, 466",452
"440-454, 466",453
"440-454, 466",454
"440-454, 466",466
440-466 (<22),440
440-466 (<22),441
440-466 (<22),442
440-466 (<22),443
440-466 (<22),444
440-466 (<22),445
440-466 (<22),446
440-466 (<22),447
440-466 (<22),448
440-466 (<22),449
440-466 (<22),450
440-466 (<22),451
440-466 (<22),452
440-466 (<22),453
440-466 (<22),454
440-466 (<22),455
440-466 (<22),456
440-466 (<22),457
440-466 (<22),458
440-466 (<22),459
440-466 (<22),460
440-466 (<22),461
440-466 (<22),462
440-466 (<22),463
440-466 (<22),464
440-466 (<22),465
440-466 (<22),466
443 to 466,443
443 to 466,444
443 to 466,445
443 to 466,446
443 to 466,447
443 to 466,448
443 to 466,449
443 to 466,450
443 to 466,451
443 to 466,452
443 to 466,453
443 to 466,454
443 to 466,455
443 to 466,456
443 to 466,457
443 to 466,458
443 to 466,459
443 to 466,460
443 to 466,461
443 to 466,462
443 to 466,463
443 to 466,464
443 to 466,465
443 to 466,466
482 to 495,493
482 to 495,494
482 to 495,495
483-495,483
483-495,484
483-495,485
483-495,490
483-495,491
483-495,492
483-495,493
483-495,494
483-495,495
484,484
484 to 495,484
484 to 495,485
484 to 495,490
484 to 495,491
484 to 495,492
484 to 495,493
484 to 495,494
484 to 495,495
"485,490-495",485
"485,490-495",490
"485,490-495",491
"485,490-495",492
"485,490-495",493
"485,490-495",494
"485,490-495",495
490 to 495,490
490 to 495,491
490 to 495,492
490 to 495,493
490 to 495,494
490 to 495,495
4VW,440
4VW,441
4VW,442
4VW,443
4VW,444
4VW,445
4VW,446
4VW,447
4VW,448
4VW,449
4VW,450
4VW,451
4VW,452
4VW,453
4VW,454
4VW,455
4VW,456
4VW,457
4VW,458
4VW,459
4VW,460
4VW,461
4VW,462
4VW,463
4VW,464
4VW,465
4VW,466
"4Vn (440,441,442)",440
"4Vn (440,441,442)",441
"4Vn (440,441,442)",442
4Wd (459),459
"4Wk (460,461,462)",460
"4Wk (460,461,462)",461
"4Wk (460,461,462)",462
4X,470
4X,471
4X,472
4X,473
4X,474
4X,475
4X,476
4X,477
4X,478
4X,480
4X,481
4X,482
4X,483
4X,484
4X,485
4X,490
4X,491
4X,492
4X,493
4X,494
4X,495
"4Xm (470,471)",470
"4Xm (470,471)",471
"4Xo (474,476,481)",474
"4Xo (474,476,481)",476
"4Xo (474,476,481)",481
5Z1,5Z1
5Z1 to 5Z4,5Z1
5Z1 to 5Z4,5Z2
5Z1 to 5Z4,5Z3
5Z1 to 5Z4,5Z4
"5Z1, 5Z2, 5Z9",5Z1
"5Z1, 5Z2, 5Z9",5Z2
"5Z1, 5Z2, 5Z9",5Z9
5Z1-5Z9 (EXCL 5Z2),5Z1
5Z1-5Z9 (EXCL 5Z2),5Z3
5Z1-5Z9 (EXCL 5Z2),5Z4
5Z1-5Z9 (EXCL 5Z2),5Z5
5Z1-5Z9 (EXCL 5Z2),5Z6
5Z1-5Z9 (EXCL 5Z2),5Z7
5Z1-5Z9 (EXCL 5Z2),5Z8
5Z1-5Z9 (EXCL 5Z2),5Z9
5Z2,5Z2
5Z3,5Z3
5Z4,5Z4
5Z5-5Z9,5Z5
5Z5-5Z9,5Z6
5Z5-5Z9,5Z7
5Z5-5Z9,5Z8
5Z5-5Z9,5Z9
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",440
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",441
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",442
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",443
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",444
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",445
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",446
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",447
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",448
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",449
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",450
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",451
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",452
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",453
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",454
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",455
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",456
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",457
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",458
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",459
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",460
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",461
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",462
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",463
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",464
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",465
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",466
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",470
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",471
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",472
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",473
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",474
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",475
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",476
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",477
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",478
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",480
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",481
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",482
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",483
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",484
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",485
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",490
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",491
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",492
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",493
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",494
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",495
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",496
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",497
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",498
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",501
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",502
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",503
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",504
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",505
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",558
"All Scotian Shelf and BOF (440-498, 501-505, 558-559)",559
Georges Sample,5Z1
Georges Sample,5Z9
Redfish Otolith,457
Redfish Otolith,458
Redfish Otolith,459
Redfish Otolith,460
Redfish Otolith,461
Redfish Otolith,462
Redfish Otolith,463
Redfish Otolith,465
Redfish Otolith,466
Redfish Otolith,470
Redfish Otolith,471
Redfish Otolith,472
Redfish Otolith,473
Redfish Otolith,474
Redfish Otolith,475
Redfish Otolith,476
Redfish Otolith,477
Redfish Otolith,478
Redfish Otolith,480
Redfish Otolith,481
447-466,447
447-466,448
447-466,449
447-466,450
447-466,451
447-466,452
447-466,453
447-466,454
447-466,455
447-466,456
447-466,457
447-466,458
447-466,459
447-466,460
447-466,461
447-466,462
447-466,463
447-466,464
447-466,465
447-466,466
455-457,455
455-457,456
455-457,457
458 to 466,458
458 to 466,459
458 to 466,460
458 to 466,461
458 to 466,462
458 to 466,463
458 to 466,464
458 to 466,465
458 to 466,466
"458-460, 470",458
"458-460, 470",459
"458-460, 470",460
"458-460, 470",470
"461, 471, 473-478",461
"461, 471, 473-478",471
"461, 471, 473-478",473
"461, 471, 473-478",474
"461, 471, 473-478",475
"461, 471, 473-478",476
"461, 471, 473-478",477
"461, 471, 473-478",478
"462-465, 472",462
"462-465, 472",463
"462-465, 472",464
"462-465, 472",465
"462-465, 472",472
470 to 478,470
470 to 478,471
470 to 478,472
470 to 478,473
470 to 478,474
470 to 478,475
470 to 478,476
470 to 478,477
470 to 478,478
470 to 481,470
470 to 481,471
470 to 481,472
470 to 481,473
470 to 481,474
470 to 481,475
470 to 481,476
470 to 481,477
470 to 481,478
470 to 481,480
470 to 481,481
470 to 495,470
470 to 495,471
470 to 495,472
470 to 495,473
470 to 495,474
470 to 495,475
470 to 495,476
470 to 495,477
470 to 495,478
470 to 495,480
470 to 495,481
470 to 495,482
470 to 495,483
470 to 495,484
470 to 495,485
470 to 495,490
470 to 495,491
470 to 495,492
470 to 495,493
470 to 495,494
470 to 495,495
470-482 (<22),470
470-482 (<22),471
470-482 (<22),472
470-482 (<22),473
470-482 (<22),474
470-482 (<22),475
470-482 (<22),476
470-482 (<22),477
470-482 (<22),478
470-482 (<22),480
470-482 (<22),481
470-482 (<22),482
"470-495, 5Z1, 5Z9",470
"470-495, 5Z1, 5Z9",471
"470-495, 5Z1, 5Z9",472
"470-495, 5Z1, 5Z9",473
"470-495, 5Z1, 5Z9",474
"470-495, 5Z1, 5Z9",475
"470-495, 5Z1, 5Z9",476
"470-495, 5Z1, 5Z9",477
"470-495, 5Z1, 5Z9",478
"470-495, 5Z1, 5Z9",480
"470-495, 5Z1, 5Z9",481
"470-495, 5Z1, 5Z9",482
"470-495, 5Z1, 5Z9",483
"470-495, 5Z1, 5Z9",484
"470-495, 5Z1, 5Z9",485
"470-495, 5Z1, 5Z9",490
"470-495, 5Z1, 5Z9",491
"470-495, 5Z1, 5Z9",492
"470-495, 5Z1, 5Z9",493
"470-495, 5Z1, 5Z9",494
"470-495, 5Z1, 5Z9",495
"470-495, 5Z1, 5Z9",5Z1
"470-495, 5Z1, 5Z9",5Z9
480 to 481,480
480 to 481,481
480-482,480
480-482,481
480-482,482
480-495,480
480-495,481
480-495,482
480-495,483
480-495,484
480-495,485
480-495,490
480-495,491
480-495,492
480-495,493
480-495,494
480-495,495
"481-485, 5Z9",481
"481-485, 5Z9",482
"481-485, 5Z9",483
"481-485, 5Z9",484
"481-485, 5Z9",485
"481-485, 5Z9",5Z9
482 to 495,482
482 to 495,483
482 to 495,484
482 to 495,485
482 to 495,490
482 to 495,491
482 to 495,492
Redfish1,440
Redfish1,441
Redfish1,442
Redfish1,443
Redfish1,444
Redfish1,445
Redfish1,446
Redfish1,447
Redfish1,448
Redfish1,449
Redfish1,450
Redfish1,451
Redfish1,452
Redfish1,453
Redfish1,454
Redfish1,455
Redfish1,456
Redfish1,464
Redfish1,490
Redfish1,491
Redfish1,492
Redfish1,493
Redfish1,494
Redfish1,495
Redfish1,496
Redfish1,497
Redfish1,498
Redfish2,457
Redfish2,458
Redfish2,459
Redfish2,460
Redfish2,461
Redfish2,462
Redfish2,463
Redfish2,465
Redfish2,466
Redfish2,470
Redfish2,471
Redfish2,472
Redfish2,473
Redfish2,474
Redfish2,475
Redfish2,476
Redfish2,477
Redfish2,478
Redfish2,480
Redfish2,481
Redfish3,482
Redfish3,483
Redfish3,484
Redfish3,485
Scotian Shelf Slope,496
Scotian Shelf Slope,497
Scotian Shelf Slope,498
Shelf,440
Shelf,441
Shelf,442
Shelf,443
Shelf,444
Shelf,445
Shelf,446
Shelf,447
Shelf,448
Shelf,449
Shelf,450
Shelf,451
Shelf,452
Shelf,453
Shelf,454
Shelf,455
Shelf,456
Shelf,457
Shelf,458
Shelf,459
Shelf,460
Shelf,461
Shelf,462
Shelf,463
Shelf,464
Shelf,465
Shelf,466
Shelf,470
Shelf,471
Shelf,472
Shelf,473
Shelf,474
Shelf,475
Shelf,476
Shelf,477
Shelf,478
Shelf,480
Shelf,481
Shelf,482
Shelf,483
Shelf,484
Shelf,485
Shelf,490
Shelf,491
Shelf,492
Shelf,493
Shelf,494
Shelf,495
Silver Hake1,455
Silver Hake1,456
Silver Hake1,464
Silver Hake2,460
Silver Hake2,461
Silver Hake2,470
Silver Hake2,471
Silver Hake3,440
Silver Hake3,441
Silver Hake3,442
Silver Hake3,443
Silver Hake3,444
Silver Hake3,445
Silver Hake3,446
Silver Hake3,447
Silver Hake3,448
Silver Hake3,449
Silver Hake3,450
Silver Hake3,451
Silver Hake3,452
Silver Hake3,453
Silver Hake3,454
Silver Hake3,457
Silver Hake3,458
Silver Hake3,459
Silver Hake3,462
Silver Hake3,463
Silver Hake3,465
Silver Hake3,466
Silver Hake3,472
Silver Hake3,473
Silver Hake3,474
Silver Hake3,475
Silver Hake3,476
Silver Hake3,477
Silver Hake3,478
Silver Hake3,480
Silver Hake3,481
Silver Hake3,482
Silver Hake3,483
Silver Hake3,496
Silver Hake3,497
Silver Hake3,498
Silver Hake4,484
Silver Hake4,485
Silver Hake4,490
Silver Hake4,491
Silver Hake4,492
Silver Hake4,493
Silver Hake4,494
Silver Hake4,495
Silver Hake5,5Z1
Silver Hake5,5Z9
Lingbo Halibut,450
Lingbo Halibut,452
Lingbo Halibut,462
Lingbo Halibut,463
Lingbo Halibut,464
Lingbo Halibut,475
Lingbo Halibut,476
Lingbo Halibut,477
Lingbo Halibut,480
Lingbo Halibut,481
Lingbo Halibut,490
Lingbo Halibut,491
Lingbo Halibut,492
Lingbo Halibut,5Z1
Lingbo Halibut,5Z2
Lingbo Halibut,5Z9
"5Z1, 5Z4",5Z1
"5Z1, 5Z4",5Z4
"5Z1-5Z4, 5Z9",5Z1
"5Z1-5Z4, 5Z9",5Z2
"5Z1-5Z4, 5Z9",5Z31
"5Z1-5Z4, 5Z9",5Z32
"5Z1-5Z4, 5Z9",5Z33
"5Z1-5Z4, 5Z9",5Z34
"5Z1-5Z4, 5Z9",5Z41
"5Z1-5Z4, 5Z9",5Z42
"5Z1-5Z4, 5Z9",5Z9
5Z9,5Z9
5Z5 to 5Z8,5Z5
5Z5 to 5Z8,5Z6
5Z5 to 5Z8,5Z7
5Z5 to 5Z8,5Z8
